Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22
Model:,LI-7810,,,,,,,,,,,,,,,,,,,,
SN:,TG10-01593,,,,,,,,,,,,,,,,,,,,
Software Version:,2.3.8,,,,,,,,,,,,,,,,,,,,
Timestamp:,2023-07-06 12:50:04,,,,,,,,,,,,,,,,,,,,
Timezone:,US/Eastern,,,,,,,,,,,,,,,,,,,,
DATAH,SECONDS,NANOSECONDS,NDX,DIAG,REMARK,DATE,TIME,H2O,CO2,CH4,CAVITY_P,CAVITY_T,LASER_PHASE_P,LASER_T,RESIDUAL,RING_DOWN_TIME,THERMAL_ENCLOSURE_T,PHASE_ERROR,LASER_T_SHIFT,INPUT_VOLTAGE,CHK
DATAU,secs,nsecs,index,diag,,date,time,ppm,ppm,ppb,kPa,°C,kPa,°C,,µsecs,°C,counts,°C,V,CHK
DATA,1688662328,35049915,505,256,,2023-07-06,12:52:08,nan,nan,nan,101.377,27.3999,101.027,37.4037,0,0,27.5309,-16000,0,16.2153,100
DATA,1688662329,35049915,509,256,,2023-07-06,12:52:09,nan,nan,nan,101.377,27.4173,101.027,37.4037,0,0,27.5521,-16000,0,16.2145, 88
DATA,1688662330,34734964,513,256,,2023-07-06,12:52:10,nan,nan,nan,101.377,27.4335,101.027,37.4037,0,0,27.5719,-16000,0,16.2126, 79
DATA,1688662331,34734964,517,256,,2023-07-06,12:52:11,nan,nan,nan,101.378,27.4509,101.026,37.4037,0,0,27.5933,-16000,0,16.2126, 86
DATA,1688662332,34734964,521,256,,2023-07-06,12:52:12,nan,nan,nan,101.378,27.4683,101.028,37.4037,0,0,27.6149,-16000,0,16.2114, 85
DATA,1688662333,34734964,525,256,,2023-07-06,12:52:13,nan,nan,nan,101.378,27.4853,101.026,37.4037,0,0,27.6361,-16000,0,16.211, 32
DATA,1688662334,34734964,529,256,,2023-07-06,12:52:14,nan,nan,nan,101.376,27.5025,101.025,37.4037,0,0,27.6573,-16000,0,16.2102, 81
DATA,1688662335,34734964,533,256,,2023-07-06,12:52:15,nan,nan,nan,101.377,27.5198,101.026,37.4037,0,0,27.6785,-16000,0,16.2094,106
DATA,1688662336,34734964,537,256,,2023-07-06,12:52:16,nan,nan,nan,101.377,27.5369,101.026,37.4037,0,0,27.6997,-16000,0,16.2086,118
DATA,1688662337,34423112,541,256,,2023-07-06,12:52:17,nan,nan,nan,101.377,27.554,101.026,37.4037,0,0,27.721,-16000,0,16.2082,221
DATA,1688662338,34423112,545,256,,2023-07-06,12:52:18,nan,nan,nan,101.377,27.5699,101.026,37.4037,0,0,27.74,-16000,0,16.2071,241
DATA,1688662339,34423112,549,256,,2023-07-06,12:52:19,nan,nan,nan,101.378,27.587,101.027,37.4037,0,0,27.7616,-16000,0,16.2067, 46
DATA,1688662340,34423112,553,256,,2023-07-06,12:52:20,nan,nan,nan,101.378,27.6049,101.026,37.4037,0,0,27.7833,-16000,0,16.2063, 68
DATA,1688662341,34423112,557,256,,2023-07-06,12:52:21,nan,nan,nan,101.378,27.622,101.027,37.4037,0,0,27.8043,-16000,0,16.2059, 17
DATA,1688662342,34423112,561,256,,2023-07-06,12:52:22,nan,nan,nan,101.377,27.6392,101.026,37.4037,0,0,27.8253,-16000,0,16.2055, 69
DATA,1688662343,34423112,565,256,,2023-07-06,12:52:23,nan,nan,nan,101.377,27.6563,101.025,37.4037,0,0,27.8464,-16000,0,16.2047, 79
DATA,1688662344,34423112,569,256,,2023-07-06,12:52:24,nan,nan,nan,101.377,27.6735,101.026,37.4037,0,0,27.8674,-16000,0,16.2039, 91
DATA,1688662345,34105062,573,256,,2023-07-06,12:52:25,nan,nan,nan,101.377,27.6905,101.025,37.4037,0,0,27.8884,-16000,0,16.2024, 84
DATA,1688662346,34105062,577,256,,2023-07-06,12:52:26,nan,nan,nan,101.377,27.7075,101.025,37.4037,0,0,27.9096,-16000,0,16.2028, 89
